epoch	lr	TrainLoss	Clean_TestMAE	Clean_TestMSE
464	0.001	0.00627	0.061	0.00693
465	0.001	0.00616	0.0612	0.007
466	0.001	0.00614	0.0603	0.00684
467	0.001	0.00614	0.06	0.00678
468	0.001	0.00613	0.0605	0.00684
469	0.001	0.00614	0.0602	0.0068
470	0.001	0.00614	0.0625	0.00718
471	0.001	0.00613	0.06	0.00675
472	0.001	0.00612	0.0599	0.00675
473	0.001	0.00613	0.0616	0.00705
474	0.001	0.00613	0.0612	0.00695
475	0.001	0.00617	0.0599	0.00675
476	0.001	0.00612	0.0609	0.00691
477	0.001	0.0061	0.0604	0.00683
478	0.001	0.00613	0.0603	0.00681
479	0.001	0.00612	0.0597	0.00672
480	0.001	0.00614	0.0607	0.00687
481	0.001	0.00614	0.0599	0.00674
482	0.001	0.00611	0.0681	0.00821
483	0.001	0.00612	0.0631	0.00723
484	0.001	0.00607	0.0605	0.00683
485	0.001	0.00609	0.0605	0.00685
486	0.001	0.00609	0.0607	0.00686
487	0.001	0.00609	0.0604	0.00682
488	0.001	0.00608	0.0603	0.00679
489	0.001	0.0061	0.0605	0.00685
490	0.001	0.00608	0.0605	0.00683
491	0.001	0.00612	0.0597	0.00671
492	0.001	0.00608	0.0598	0.0067
493	0.001	0.00606	0.0598	0.00671
494	0.001	0.00608	0.0607	0.00687
495	0.001	0.00616	0.0606	0.00685
496	0.001	0.00605	0.0603	0.0068
497	0.001	0.00605	0.0601	0.00677
498	0.001	0.0061	0.0593	0.00663
499	0.001	0.00605	0.0599	0.00671
500	0.001	0.00606	0.0613	0.00697
501	0.001	0.00604	0.0601	0.00675
502	0.001	0.00607	0.0608	0.00686
503	0.001	0.00611	0.0603	0.00682
504	0.001	0.00605	0.062	0.00706
505	0.001	0.00604	0.0612	0.00694
506	0.001	0.00604	0.0606	0.00681
507	0.001	0.00603	0.0603	0.00678
508	0.001	0.00604	0.0594	0.00663
509	0.001	0.00606	0.06	0.00675
510	0.001	0.00602	0.06	0.00674
511	0.001	0.00602	0.0599	0.0067
512	0.001	0.00604	0.0615	0.00698
513	0.001	0.00603	0.0602	0.00675
514	0.001	0.006	0.0593	0.00663
515	0.001	0.00603	0.0606	0.00681
516	0.001	0.00601	0.0599	0.00671
517	0.001	0.00603	0.0634	0.00728
518	0.001	0.00602	0.0597	0.0067
519	0.001	0.00608	0.0596	0.00665
520	0.001	0.006	0.0603	0.00677
521	0.001	0.00603	0.063	0.00724
522	0.001	0.00601	0.0595	0.00665
523	0.001	0.00601	0.0594	0.00663
524	0.001	0.006	0.0602	0.00675
525	0.001	0.006	0.0601	0.00675
526	0.001	0.00601	0.06	0.00673
527	0.001	0.00603	0.06	0.00672
528	0.001	0.00601	0.0596	0.00666
529	0.001	0.00599	0.0605	0.00679
530	0.001	0.006	0.0608	0.00686
531	0.001	0.00601	0.0602	0.00675
532	0.001	0.00599	0.0603	0.00678
533	0.001	0.00599	0.0598	0.0067
534	0.001	0.00602	0.0602	0.00676
535	0.001	0.00597	0.0607	0.00684
536	0.001	0.00609	0.0591	0.00658
537	0.001	0.00596	0.0594	0.00663
538	0.001	0.00604	0.0594	0.00665
539	0.001	0.006	0.0597	0.00666
540	0.001	0.00597	0.0608	0.00683
541	0.001	0.00598	0.0596	0.00666
542	0.001	0.00597	0.0595	0.00664
543	0.001	0.00599	0.0602	0.00676
544	0.001	0.00597	0.0593	0.0066
545	0.001	0.00597	0.0591	0.00656
546	0.001	0.00597	0.0597	0.00668
547	0.001	0.00597	0.0597	0.00666
548	0.001	0.00599	0.06	0.00672
549	0.001	0.00595	0.0595	0.00662
550	0.001	0.00595	0.0607	0.00682
551	0.001	0.00597	0.0592	0.00659
552	0.001	0.00606	0.0592	0.00658
553	0.001	0.00595	0.0592	0.00656
554	0.001	0.00592	0.0596	0.00663
555	0.001	0.00593	0.0596	0.00666
556	0.001	0.00594	0.059	0.00654
557	0.001	0.00596	0.059	0.00654
558	0.001	0.00593	0.0599	0.00669
559	0.001	0.00594	0.0592	0.00658
560	0.001	0.00593	0.0589	0.00652
561	0.001	0.00593	0.0601	0.00673
562	0.001	0.00594	0.0598	0.00666
563	0.001	0.00593	0.0599	0.00669
564	0.001	0.00594	0.0595	0.00664
565	0.001	0.00591	0.0596	0.00664
566	0.001	0.00593	0.0598	0.00666
567	0.001	0.00593	0.0606	0.00681
568	0.001	0.00593	0.0596	0.00665
569	0.001	0.00592	0.0597	0.00665
570	0.001	0.00592	0.06	0.00671
571	0.001	0.00592	0.0597	0.00665
572	0.001	0.00592	0.0589	0.00652
573	0.001	0.00591	0.0626	0.00712
574	0.001	0.00591	0.06	0.00671
575	0.001	0.00591	0.0603	0.00675
576	0.001	0.00592	0.059	0.00653
577	0.001	0.00589	0.0609	0.00685
578	0.001	0.00592	0.0595	0.00662
579	0.001	0.00589	0.0609	0.00683
580	0.001	0.00606	0.0591	0.00654
581	0.001	0.00587	0.0617	0.00697
582	0.001	0.00588	0.0592	0.00656
583	0.001	0.00589	0.0593	0.00658
584	0.001	0.00593	0.0598	0.00667
585	0.001	0.00587	0.0596	0.00663
586	0.001	0.00587	0.0606	0.0068
587	0.001	0.00589	0.0597	0.00663
588	0.001	0.00588	0.059	0.00653
589	0.001	0.00588	0.0585	0.00644
590	0.001	0.00588	0.0599	0.00666
591	0.001	0.00588	0.0589	0.0065
592	0.001	0.00588	0.0581	0.00637
593	0.001	0.00588	0.059	0.00651
594	0.001	0.00592	0.0654	0.00773
595	0.001	0.00608	0.0585	0.00644
596	0.001	0.00584	0.0586	0.00645
597	0.001	0.00587	0.0587	0.00647
598	0.001	0.00592	0.064	0.00737
599	0.001	0.00588	0.0643	0.00768
